CustomerID,Name,Email,Phone,City,Product,Category,Quantity,Price,TotalAmount,OrderDate,PaymentMode
C036,Gatik Chandran,ysekhon@bandi.com,8883662306,Aizawl,Snacks Box,Grocery,4,3561,14244,2025-07-17,Debit Card
C037,Damini Sane,ivanarao@kala.com,+912744526892,Berhampur,Jeans,Fashion,2,4443,8886,2025-02-18,Debit Card
C038,Nitara Bhattacharyya,anaysolanki@koshy-virk.info,9726784835,Saharanpur,Cookware Set,Home,1,693,693,2025-08-05,Debit Card
C039,Renee Dyal,akarshraj@hotmail.com,01501790273,Proddatur,Wheat Flour,Grocery,2,4517,9034,2025-01-17,COD
C040,Nishith Chaudhari,gkari@yahoo.com,07525348979,Akola,T-shirt,Fashion,3,4940,14820,2025-09-14,UPI
C041,Anay Batra,ychakraborty@sibal.com,02214061102,Arrah,Rice Bag,Grocery,5,1362,6810,2025-08-01,UPI
C042,Taran Vyas,ranganathanchirag@chana.com,5593894995,Durgapur,Smart Watch,Electronics,2,438,876,2025-02-02,Credit Card
C043,Anya Behl,vedika14@gmail.com,+912706550022,Bareilly,Mixer Grinder,Home,2,2741,5482,2025-03-23,Net Banking
C044,Azad Sachdev,dsaini@gmail.com,+912235939786,Saharanpur,Mixer Grinder,Home,4,3545,14180,2025-05-22,UPI
C045,Shlok Karnik,gtrivedi@khosla.com,04923852226,Latur,Jeans,Fashion,3,2002,6006,2025-06-12,COD
C046,Ojas Dewan,fatehbasu@gmail.com,+912889618756,Danapur,Jeans,Fashion,4,1842,7368,2025-04-13,UPI
C047,Azad Rao,nitaraborra@hotmail.com,+914000961773,Bardhaman,Spices Pack,Grocery,3,2350,7050,2025-06-24,UPI
C048,Rania Tara,armaanmadan@gmail.com,0676361295,Kadapa,Snacks Box,Grocery,5,4923,24615,2025-04-21,Credit Card
C049,Divij Majumdar,,08467798414,,Electric Kettle,,3,,12183,,Net Banking
C050,Adah Sabharwal,saneanahita@gmail.com,+918385210891,Medininagar,Cookware Set,Home,3,2745,8235,2025-05-20,Net Banking
C043,Anya Behl,vedika14@gmail.com,+912706550022,Bareilly,Mixer Grinder,Home,2,2741,5482,2025-03-23,Net Banking
C044,Azad Sachdev,dsaini@gmail.com,+912235939786,Saharanpur,Mixer Grinder,Home,4,3545,14180,2025-05-22,UPI
C045,Shlok Karnik,gtrivedi@khosla.com,04923852226,Latur,Jeans,Fashion,3,2002,6006,2025-06-12,COD
C046,Ojas Dewan,fatehbasu@gmail.com,+912889618756,Danapur,Jeans,Fashion,4,1842,7368,2025-04-13,UPI
C047,Azad Rao,nitaraborra@hotmail.com,+914000961773,Bardhaman,Spices Pack,Grocery,3,2350,7050,2025-06-24,UPI
